,index,count,mean,std,min,25%,50%,75%,max,IQR,UpperLimit,LowerLimit,type
9,global_outlier_en,14536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,site_target
0,productID,45656.0,5.443818994217628,5.123843340461972,1.0,1.0,4.0,9.0,24.0,8.0,21.0,-11.0,global_en
1,review_star_rating,45656.0,4.40375854214123,1.1136012104828181,1.0,4.0,5.0,5.0,5.0,1.0,6.5,2.5,global_en
2,review_helpful_votes,45656.0,0.5170623795339058,6.1624180390647485,0.0,0.0,0.0,0.0,637.0,0.0,0.0,0.0,global_en
3,review_subjectivity,45656.0,0.5837210327824959,0.19240665237769633,0.0,0.48000000000000004,0.5984848484848485,0.7083333333333334,1.0,0.22833333333333333,1.0508333333333333,0.1375,global_en
4,review_polarity,45656.0,0.3545025478754213,0.28443760545657404,-1.0,0.175,0.3666666666666667,0.5426607142857143,1.0,0.3676607142857143,1.0941517857142857,-0.37649107142857147,global_en
5,review_length,45656.0,32.532569651305415,42.73871265351826,1.0,13.0,20.0,36.0,1164.0,23.0,70.5,-21.5,global_en
6,site_outlier,45656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global_en
7,site_outlier_en,45656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global_en
8,global_outlier,45656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global_en
9,global_outlier_en,45656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global_en
0,productID,5075.0,12.244926108374385,7.523403988708428,1.0,6.0,11.0,20.0,24.0,14.0,41.0,-15.0,site_amazon_english
1,review_star_rating,5075.0,3.30935960591133,1.5773516157072096,1.0,2.0,4.0,5.0,5.0,3.0,9.5,-2.5,site_amazon_english
2,review_helpful_votes,5075.0,3.1263054187192116,17.144037474745417,0.0,0.0,0.0,2.0,637.0,2.0,5.0,-3.0,site_amazon_english
3,review_subjectivity,5075.0,0.5330922122896375,0.189711223340054,0.0,0.43267676767676766,0.5357264957264957,0.64375,1.0,0.21107323232323238,0.9603598484848486,0.11606691919191908,site_amazon_english
4,review_polarity,5075.0,0.17226734887345013,0.27748391852385174,-1.0,0.0,0.15596590909090907,0.3418333333333333,1.0,0.3418333333333333,0.8545833333333334,-0.51275,site_amazon_english
5,review_length,5075.0,65.98660098522167,79.26217589969231,1.0,19.0,40.0,84.0,1164.0,65.0,181.5,-78.5,site_amazon_english
6,site_outlier,5075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,site_amazon_english
7,site_outlier_en,5075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,site_amazon_english
8,global_outlier,5075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,site_amazon_english
9,global_outlier_en,5075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,site_amazon_english
0,productID,26057.0,2.2884829412441956,1.423902193501184,1.0,1.0,1.0,4.0,5.0,3.0,8.5,-3.5,site_bestbuy_english
1,review_star_rating,26057.0,4.577234524312085,0.922645530160621,1.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,site_bestbuy_english
2,review_helpful_votes,26057.0,0.1520896496143071,2.4627113862082983,0.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,site_bestbuy_english
3,review_subjectivity,26057.0,0.59108757482132,0.19019608221353557,0.0,0.4958333333333334,0.6000000000000001,0.7166666666666667,1.0,0.22083333333333327,1.0479166666666666,0.16458333333333347,site_bestbuy_english
4,review_polarity,26057.0,0.3979290029091086,0.27650018491332884,-1.0,0.22812500000000002,0.41190476190476194,0.5833333333333334,1.0,0.35520833333333335,1.1161458333333334,-0.3046875,site_bestbuy_english
5,review_length,26057.0,25.629849944352767,33.01336645982182,1.0,12.0,17.0,28.0,1016.0,16.0,52.0,-12.0,site_bestbuy_english
