url,product_title,product_details,product_specs,total_star_rating,total_star_votes
https://www.target.com/p/doritos-nacho-cheese-flavored-tortilla-chips-14-5oz/-/A-13319564?ref=tgt_adv_xsp&AFID=google&fndsrc=tgtao&DFA=71700000108139139&CPNG=PLA_Snacks%2BCandy%2BShopping_Local%7CSnacks%2BCandy_Ecomm_Food_Bev&adgroup=SC_Snacks%2BCandy&LID=700000001170770pgs&LNM=PRODUCT_GROUP&network=g&device=c&location=9028882&targetid=pla-566872943420&gad_source=1&gclid=CjwKCAiA_tuuBhAUEiwAvxkgTrVUgEoQxO7gDRv43EXIBS0LKEJIZzesWGUMd9JSJq7OybsxjUxfSxoCYmYQAvD_BwE&gclsrc=aw.ds,Doritos Nacho Cheese Flavored Tortilla Chips - 14.5oz,"Highlights
15.0oz. bag of DORITOS Nacho Cheese Flavored Tortilla Chips
Your favorite bold nacho cheese flavored tortilla chips
Perfect snack for sharing with friends
Crunchy chips and boldness make DORITOS snacks awesome
Description
The DORITOS brand is all about boldness especially with this bold nacho cheese flavored tortilla chips. If you're up to the challenge, grab a bag of DORITOS tortilla chips and get ready to make some memories you won't soon forget. Share with friends or enjoy solo. It's a bold experience in snacking and beyond.","Contains: Milk
State of Readiness: Ready to Eat
Form: Chip
Package Quantity: 1",4.8,2604 star ratings
https://www.target.com/p/adjustable-storage-desk-black-room-essentials-8482/-/A-54364953,Adjustable Storage Desk Black - Room Essentials™,"Highlights
Rectangular storage desk with open-style design offers airy appeal to your space
Sleek silhouette and clean lines offer a chic, minimalist flair
Adjustable shelves offer customized and convenient storage
Black rectangular desk blends easily with any current decor or color scheme
Description
Give your workspace or den a quick update with this sleek and simple Adjustable Storage Desk from Room Essentials™. Featuring a sturdy, metal frame with a matte-black finish and an espresso brown top, this versatile storage desk can be placed anywhere from your den to your entryway. The sleek silhouette and clean lines lend a modern, contemporary feel to your space, while the wide tabletop and open shelving unit on one side offers ample storage space. The adjustable shelves can be moved up or down for customized storage.

Overall Height: 30""
Overall Width: 43""
Overall Depth: 19""
Chair Opening Height: 28.25""
Chair Opening Width: 27.12""
Shelf Width: 16.25""
Shelf Depth: 16.25""
Shelf opening – 15.55”","Dimensions (Overall): 30 Inches (H) x 42.67 Inches (W) x 19.02 Inches (D)
Weight: 31.46 Pounds
Material: MDF (Medium-Density Fiberboard) (Frame)
Surface Material: Laminate
Assembly Details: Adult Assembly Required, Tools Not Provided
Material: Furniture Hardware: Metal
Storage Features: Open Storage Shelf
TCIN: 54364953
UPC: 042666001328",4.5,490 star ratings
